AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,LATITUDE,LONGITUDE,ELEVATION,ICAO,IATA,FAA,MESONET_STATION
11540,ELP,El Paso International,"El Paso, TX",Texas,TX,31.807222,-106.37639,3959,KELP,ELP,ELP,ELP
10155,ACT,Waco Regional,"Waco, TX",Texas,TX,31.612223,-97.23028,516,KACT,ACT,ACT,ACT
11298,DFW,Dallas/Fort Worth International,"Dallas/Fort Worth, TX",Texas,TX,32.89722,-97.03778,607,KDFW,DFW,DFW,DFW
10279,AMA,Rick Husband Amarillo International,"Amarillo, TX",Texas,TX,35.219444,-101.70583,3607,KAMA,AMA,AMA,AMA
15411,TYR,Tyler Pounds Regional,"Tyler, TX",Texas,TX,32.35361,-95.40305,544,KTYR,TYR,TYR,TYR
13158,MAF,Midland International Air and Space Port,"Midland/Odessa, TX",Texas,TX,31.9425,-102.20194,2871,KMAF,MAF,MAF,MAF
15569,VCT,Victoria Regional,"Victoria, TX",Texas,TX,28.854166,-96.91861,115,KVCT,VCT,VCT,VCT
12266,IAH,George Bush Intercontinental/Houston,"Houston, TX",Texas,TX,29.984444,-95.34139,97,KIAH,IAH,IAH,IAH
13829,OGD,Ogden-Hinckley,"Ogden, UT",Utah,UT,41.195,-112.01222,4473,KOGD,OGD,OGD,OGD
15582,VEL,Vernal Regional,"Vernal, UT",Utah,UT,40.43611,-109.51139,5278,KVEL,VEL,VEL,VEL
14869,SLC,Salt Lake City International,"Salt Lake City, UT",Utah,UT,40.788334,-111.977776,4227,KSLC,SLC,SLC,SLC
14794,SGU,St George Regional,"St. George, UT",Utah,UT,37.03639,-113.51028,2941,KSGU,SGU,SGU,SGU
10918,CDC,Cedar City Regional,"Cedar City, UT",Utah,UT,37.700832,-113.09889,5622,KCDC,CDC,CDC,CDC
14314,PVU,Provo Municipal,"Provo, UT",Utah,UT,40.219166,-111.723335,4497,KPVU,PVU,PVU,PVU
11092,CNY,Canyonlands Regional,"Moab, UT",Utah,UT,38.7575,-109.753334,4557,KCNY,CNY,CNY,CNY
14524,RIC,Richmond International,"Richmond, VA",Virginia,VA,37.50528,-77.319725,167,KRIC,RIC,RIC,RIC
14802,SHD,Shenandoah Valley Regional,"Staunton, VA",Virginia,VA,38.26389,-78.896385,1201,KSHD,SHD,SHD,SHD
14574,ROA,Roanoke Blacksburg Regional,"Roanoke, VA",Virginia,VA,37.325554,-79.975555,1175,KROA,ROA,ROA,ROA
11278,DCA,Ronald Reagan Washington National,"Washington, DC",Virginia,VA,38.851387,-77.03778,15,KDCA,DCA,DCA,DCA
13931,ORF,Norfolk International,"Norfolk, VA",Virginia,VA,36.894722,-76.20111,26,KORF,ORF,ORF,ORF
14098,PHF,Newport News/Williamsburg International,"Newport News/Williamsburg, VA",Virginia,VA,37.131943,-76.49306,42,KPHF,PHF,PHF,PHF
10990,CHO,Charlottesville Albemarle,"Charlottesville, VA",Virginia,VA,38.13972,-78.452225,639,KCHO,CHO,CHO,CHO
12264,IAD,Washington Dulles International,"Washington, DC",Virginia,VA,38.9475,-77.46,312,KIAD,IAD,IAD,IAD
13139,LYH,Lynchburg Regional/Preston Glenn Field,"Lynchburg, VA",Virginia,VA,37.32528,-79.20111,938,KLYH,LYH,LYH,LYH
15024,STT,Cyril E King,"Charlotte Amalie, VI",U.S. Virgin Islands,VI,18.337223,-64.973335,24,TIST,STT,STT,TIST
15027,STX,Henry E. Rohlsen,"Christiansted, VI",U.S. Virgin Islands,VI,17.70139,-64.80194,74,TISX,STX,STX,TISX
10785,BTV,Burlington International,"Burlington, VT",Vermont,VT,44.471943,-73.153336,335,KBTV,BTV,BTV,BTV
11884,GEG,Spokane International,"Spokane, WA",Washington,WA,47.619167,-117.53528,2376,KGEG,GEG,GEG,GEG
14303,PUW,Pullman Moscow Regional,"Pullman, WA",Washington,WA,46.741665,-117.111664,2556,KPUW,PUW,PUW,PUW
10666,BLI,Bellingham International,"Bellingham, WA",Washington,WA,48.792778,-122.5375,170,KBLI,BLI,BLI,BLI
14004,PAE,Snohomish County,"Everett, WA",Washington,WA,47.907223,-122.28222,606,KPAE,PAE,PAE,PAE
11470,EAT,Pangborn Memorial,"Wenatchee, WA",Washington,WA,47.398888,-120.20695,1249,KEAT,EAT,EAT,EAT
14747,SEA,Seattle/Tacoma International,"Seattle, WA",Washington,WA,47.45,-122.31167,433,KSEA,SEA,SEA,SEA
14252,PSC,Tri Cities,"Pasco/Kennewick/Richland, WA",Washington,WA,46.26472,-119.11889,410,KPSC,PSC,PSC,PSC
10275,ALW,Walla Walla Regional,"Walla Walla, WA",Washington,WA,46.0925,-118.284164,1194,KALW,ALW,ALW,ALW
16101,YKM,Yakima Air Terminal/McAllister Field,"Yakima, WA",Washington,WA,46.568054,-120.54417,1099,KYKM,YKM,YKM,YKM
13485,MSN,Dane County Regional-Truax Field,"Madison, WI",Wisconsin,WI,43.14,-89.3375,887,KMSN,MSN,MSN,MSN
13076,LSE,La Crosse Regional,"La Crosse, WI",Wisconsin,WI,43.879166,-91.25667,655,KLSE,LSE,LSE,LSE
11203,CWA,Central Wisconsin,"Mosinee, WI",Wisconsin,WI,44.7775,-89.666664,1277,KCWA,CWA,CWA,CWA
13342,MKE,General Mitchell International,"Milwaukee, WI",Wisconsin,WI,42.946945,-87.89694,723,KMKE,MKE,MKE,MKE
11471,EAU,Chippewa Valley Regional,"Eau Claire, WI",Wisconsin,WI,44.865833,-91.48417,913,KEAU,EAU,EAU,EAU
10408,ATW,Appleton International,"Appleton, WI",Wisconsin,WI,44.258057,-88.519165,918,KATW,ATW,ATW,ATW
11977,GRB,Green Bay Austin Straubel International,"Green Bay, WI",Wisconsin,WI,44.484722,-88.12972,695,KGRB,GRB,GRB,GRB
14520,RHI,Rhinelander/Oneida County,"Rhinelander, WI",Wisconsin,WI,45.630833,-89.46667,1624,KRHI,RHI,RHI,RHI
11146,CRW,West Virginia International Yeager,"Charleston/Dunbar, WV",West Virginia,WV,38.37611,-81.59278,981,KCRW,CRW,CRW,CRW
13121,LWB,Greenbrier Valley,"Lewisburg, WV",West Virginia,WV,37.858334,-80.399445,2302,KLWB,LWB,LWB,LWB
12223,HTS,Tri-State/Milton J. Ferguson Field,"Ashland, WV",West Virginia,WV,38.36861,-82.56028,828,KHTS,HTS,HTS,HTS
11027,CKB,North Central West Virginia,"Clarksburg/Fairmont, WV",West Virginia,WV,39.29778,-80.2275,1217,KCKB,CKB,CKB,CKB
14543,RKS,Southwest Wyoming Regional,"Rock Springs, WY",Wyoming,WY,41.594166,-109.06528,6764,KRKS,RKS,RKS,RKS
11233,CYS,Cheyenne Regional/Jerry Olson Field,"Cheyenne, WY",Wyoming,WY,41.155556,-104.810555,6159,KCYS,CYS,CYS,CYS
12888,LAR,Laramie Regional,"Laramie, WY",Wyoming,WY,41.311943,-105.675,7284,KLAR,LAR,LAR,LAR
12441,JAC,Jackson Hole,"Jackson, WY",Wyoming,WY,43.607224,-110.73778,6451,KJAC,JAC,JAC,JAC
11122,CPR,Casper/Natrona County International,"Casper, WY",Wyoming,WY,42.905834,-106.46361,5350,KCPR,CPR,CPR,CPR
11097,COD,Yellowstone Regional,"Cody, WY",Wyoming,WY,44.52028,-109.02389,5102,KCOD,COD,COD,COD
11865,GCC,Northeast Wyoming Regional,"Gillette, WY",Wyoming,WY,44.34889,-105.539444,4365,KGCC,GCC,GCC,GCC
14534,RIW,Central Wyoming Regional,"Riverton/Lander, WY",Wyoming,WY,43.064167,-108.459724,5525,KRIW,RIW,RIW,RIW
14812,SHR,Sheridan County,"Sheridan, WY",Wyoming,WY,44.769165,-106.98028,4021,KSHR,SHR,SHR,SHR
